POINT_X,POINT_Y,CODE,AGB_T_HA,ZONE,AVG_YEAR,SIZE_HA,FAO.ecozone,GEZ
-99.9128211385000,23.37755824750000,CAM1,16.33333396910,Test,2010,1,tropical rainforest,tropical
-106.4378208775000,23.36922491450000,CAM1,10.98842620850,Test,2010,1,tropical rainforest,tropical
-110.0794873985000,23.36089158150000,CAM1,23.38888931270,Test,2010,1,tropical rainforest,tropical
-106.2294875525000,23.32755824950000,CAM1,15.22222232820,Test,2010,1,tropical rainforest,tropical
-104.4294876245000,23.31922491650000,CAM1,26.95601844790,Test,2010,1,tropical rainforest,tropical
-104.1961543005000,23.29422491750000,CAM1,21.41666603090,Test,2010,1,tropical rainforest,tropical
-109.8378207415000,23.24422491950000,CAM1,27.77083396910,Test,2010,1,tropical rainforest,tropical
-103.0628210125000,23.21922492050000,CAM1,12.06944465640,Test,2010,1,tropical rainforest,tropical
-99.1544878355000,23.20255825450000,CAM1,66.43055725100,Test,2010,1,tropical rainforest,tropical
82.3288382385000,23.19422492150000,ASI9,11.18542099000,Test,2010,1,tropical rainforest,tropical
-106.1461542225000,23.16089158950000,CAM1,12.30092620850,Test,2010,1,tropical rainforest,tropical
-99.8294878085000,23.16089158950000,CAM1,5.62500000000,Test,2010,1,tropical rainforest,tropical
-99.1544878355000,23.16089158950000,CAM1,54.49536895750,Test,2010,1,tropical rainforest,tropical
-103.0378210135000,23.15255825650000,CAM1,1.07870376110,Test,2010,1,tropical rainforest,tropical
-103.7211543195000,23.11922492450000,CAM1,21.88426017760,Test,2010,1,tropical rainforest,tropical
-99.1628211685000,23.11922492450000,CAM1,59.85185241700,Test,2010,1,tropical rainforest,tropical
-101.2628210845000,23.11089159150000,CAM1,10.13657379150,Test,2010,1,tropical rainforest,tropical
-100.5878211115000,23.08589159250000,CAM1,0.96527779102,Test,2010,1,tropical rainforest,tropical
-104.1128209705000,23.07755825950000,CAM1,21.53935241700,Test,2010,1,tropical rainforest,tropical
-104.0878209715000,23.05255826050000,CAM1,18.81250000000,Test,2010,1,tropical rainforest,tropical
-104.0128209745000,23.05255826050000,CAM1,27.28472137450,Test,2010,1,tropical rainforest,tropical
-102.6294876965000,23.05255826050000,CAM1,10.77777767180,Test,2010,1,tropical rainforest,tropical
72.9038386155000,23.05255826050000,ASI9,16.94948959350,Test,2010,1,tropical rainforest,tropical
-105.8211542355000,22.99422492950000,CAM1,8.21990776062,Test,2010,1,tropical rainforest,tropical
-103.7378209855000,22.99422492950000,CAM1,39.03935241700,Test,2010,1,tropical rainforest,tropical
-105.4878209155000,22.96922493050000,CAM1,53.94907379150,Test,2010,1,tropical rainforest,tropical
-101.8378210615000,22.94422493150000,CAM1,0.54861110449,Test,2010,1,tropical rainforest,tropical
-98.8294878485000,22.94422493150000,CAM1,27.76620292660,Test,2010,1,tropical rainforest,tropical
-105.2378209255000,22.92755826550000,CAM1,23.52546310420,Test,2010,1,tropical rainforest,tropical
-105.1878209275000,22.92755826550000,CAM1,40.27314758300,Test,2010,1,tropical rainforest,tropical
-101.4628210765000,22.92755826550000,CAM1,0.01620370336,Test,2010,1,tropical rainforest,tropical
-105.5378209135000,22.91922493250000,CAM1,48.54861068730,Test,2010,1,tropical rainforest,tropical
-105.3878209195000,22.91922493250000,CAM1,42.12500000000,Test,2010,1,tropical rainforest,tropical
-99.1128211705000,22.88589160050000,CAM1,9.98842620850,Test,2010,1,tropical rainforest,tropical
-105.4378209175000,22.87755826750000,CAM1,50.06018447880,Test,2010,1,tropical rainforest,tropical
-105.6794875745000,22.86922493450000,CAM1,34.32175827030,Test,2010,1,tropical rainforest,tropical
-99.8628211405000,22.86922493450000,CAM1,17.31018447880,Test,2010,1,tropical rainforest,tropical
-99.2628211645000,22.84422493550000,CAM1,69.24305725100,Test,2010,1,tropical rainforest,tropical
-105.2878209235000,22.83589160250000,CAM1,44.08564758300,Test,2010,1,tropical rainforest,tropical
-105.2378209255000,22.83589160250000,CAM1,39.68981552120,Test,2010,1,tropical rainforest,tropical
-105.4794875825000,22.82755826950000,CAM1,47.07870483400,Test,2010,1,tropical rainforest,tropical
-105.9211542315000,22.80255827050000,CAM1,15.15972232820,Test,2010,1,tropical rainforest,tropical
-105.4794875825000,22.78589160450000,CAM1,41.57407379150,Test,2010,1,tropical rainforest,tropical
-102.0378210535000,22.76922493850000,CAM1,1.98148143291,Test,2010,1,tropical rainforest,tropical
-105.0628209325000,22.76089160550000,CAM1,38.89814758300,Test,2010,1,tropical rainforest,tropical
-100.7711544375000,22.76089160550000,CAM1,11.76620388030,Test,2010,1,tropical rainforest,tropical
-105.2378209255000,22.74422493950000,CAM1,41.06250000000,Test,2010,1,tropical rainforest,tropical
-105.4794875825000,22.73589160650000,CAM1,44.18055725100,Test,2010,1,tropical rainforest,tropical
-98.4044878655000,22.72755827350000,CAM1,17.64120292660,Test,2010,1,tropical rainforest,tropical
-105.4294875845000,22.69422494150000,CAM1,28.35648155210,Test,2010,1,tropical rainforest,tropical
-103.9878209755000,22.69422494150000,CAM1,29.09027862550,Test,2010,1,tropical rainforest,tropical
-105.2378209255000,22.65255827650000,CAM1,39.71296310420,Test,2010,1,tropical rainforest,tropical
-99.6628211485000,22.61089161150000,CAM1,11.47453689580,Test,2010,1,tropical rainforest,tropical
-105.4294875845000,22.60255827850000,CAM1,43.47222137450,Test,2010,1,tropical rainforest,tropical
-105.3794875865000,22.60255827850000,CAM1,48.98147964480,Test,2010,1,tropical rainforest,tropical
