id,y,x
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
BSP1,14.36806,74.91944
