PLOT_ID,POINT_X,POINT_Y,AGB_T_HA,AVG_YEAR,SIZE_HA
AFR1,19.79985,-3.1082,270.059,2009,0.5
AFR1,20.40703,-3.4878,241.274,2010,0.5
AFR1,19.98994,-3.19869,292.578,2009,0.5
AFR1,19.06068,-3.19653,300.571,2007.5,0.5
AFR1,19.16842,-3.24821,307.877,2007.5,0.5
AFR1,19.85285,-3.07012,256.535,2009,0.5
AFR1,19.54781,-3.43895,394.832,2008,0.5
AFR1,19.6426,-3.54667,275.546,2008,0.5
AFR1,19.22495,-3.19687,302.807,2007.5,0.5
AFR10,12.87,5.9859,119,2007,0.5
AFR1,19.48489,-3.51168,259.377,2008,0.5
AFR1,20.17978,-3.62241,186.744,2010,0.5
AFR1,19.90263,-3.41143,204.177,2010,0.5
AFR1,19.81806,-2.96923,209.953,2007.5,0.5
AUS1,150.4255604,-26.3180625,17.66,2011,0.5
AUS1,147.6315251,-26.27585989,0.13,2008,0.5
AUS1,148.6036014,-25.26699519,90.23,2001,0.5
AUS1,148.3816565,-25.7385666,50.23,2008,0.5
AUS1,143.8170062,-28.62121518,5.5,2008,0.5
AUS1,150.392941,-26.2825779,30.26,2011,0.5
AUS1,150.5025252,-26.303966,28.76,2011,0.5
AUS1,146.8420448,-27.59849633,28.07,2009,0.5
AUS1,152.4163897,-25.42993892,182.7,2002,0.5
AUS1,147.5079198,-26.0019449,29.56,2008,0.5
AUS1,147.8549666,-27.68090035,98.11,2009,0.5
AUS1,146.6691084,-27.74319381,1.92,2008,0.5
AUS1,150.5387876,-26.296038,32.16,2011,0.5
AUS1,144.4742975,-26.7736426,7.26,2008,0.5
AUS1,145.738115,-25.98208234,11.39,2007,0.5
AUS1,146.6275366,-28.12010343,14.98,2008,0.5
AUS1,151.1218704,-25.92813008,96.07,2002,0.5
AUS1,152.3619294,-25.74625982,136.99,2003,0.5
AUS1,144.2644762,-27.70108248,2.58,2008,0.5
AUS1,150.9837679,-24.81281088,83.28,2004,0.5
AUS1,148.2866163,-26.02132786,7.29,2008,0.5
