Province,Estrato Florestal,id_parcela,Ycoordinate,Xcoordinate, Vt (m3_ha) , Vc (m3_ha) , AGB (ton_ha) , BGB (ton_ha) ,year,size
Niassa,Floresta (semi-) sempreverde,6201,-13.51850171,36.41000241,174.4,49.6,180.41,52.64,2016,0.1
Niassa,Floresta (semi-) sempreverde,6204,-13.51851126,36.41092557,214.02,76.87,218.52,64.25,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5912,-13.51869424,36.52001189,19.58,4.64,20.21,12.21,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5913,-13.51870338,36.52093514,75.82,21.92,68.33,34.83,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5911,-13.51959762,36.52000255,26.53,4.64,25,12.32,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5914,-13.51960677,36.52092579,65.04,21.62,57.32,32.59,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0384713,-13.549214,39.352131,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0384712,-13.549216,39.351207,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0384714,-13.550119,39.352132,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0384711,-13.55012,39.351208,90.72,14.97,84.03,35.73,2016,0.1
Niassa,Floresta (semi-) sempreverde,5482,-13.55520013,36.56000865,90.75,14.13,124.48,35.19,2016,0.1
Niassa,Floresta (semi-) sempreverde,5483,-13.55520915,36.56093207,99.14,53.59,113,32.02,2016,0.1
Niassa,Floresta (semi-) sempreverde,5481,-13.55610354,36.55999943,128.12,52.76,143.46,41.56,2016,0.1
Niassa,Floresta (semi-) sempreverde,5484,-13.55611256,36.56092285,61.41,20.41,75.79,22.41,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5903,-13.55848857,35.07091679,92.25,50.37,76.71,30.97,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5902,-13.55849623,35.06999313,102.74,38.72,85.83,34.37,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5904,-13.55939221,35.07092462,81.74,47.3,68.97,28.46,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5901,-13.55939987,35.07000096,85.69,41.15,71.28,33.53,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5932,-13.58569505,36.04001565,103.09,48.72,85.98,35.54,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5933,-13.58570602,36.04093879,118.04,53.02,106.44,45.41,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5931,-13.58659807,36.04000444,37.98,13.72,39.67,17.05,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5934,-13.58660903,36.04092758,124.26,56.91,133.05,62.69,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5873,-13.59368877,35.18091829,94.85,48.23,84.87,34.81,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5872,-13.59369686,35.17999456,67.59,31.67,64.06,24.09,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5874,-13.59459234,35.18092656,108.73,55.18,101.5,42.05,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",5871,-13.59460043,35.18000283,119.2,57.89,111.16,45.56,2016,0.1
