Province,Estrato Florestal,id_parcela,Ycoordinate,Xcoordinate, Vt (m3_ha) , Vc (m3_ha) , AGB (ton_ha) , BGB (ton_ha) ,year,size
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772003,-10.606565,40.536637,39.9,2.53,32.61,21.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772002,-10.606569,40.535723,24.65,0.77,21.44,13.32,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770543,-10.606665,40.527437,4.09,0,4.41,2.96,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770542,-10.606669,40.526523,20.06,2.38,17.77,10.56,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772004,-10.607469,40.536641,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0772001,-10.607473,40.535727,64.15,0.97,77.74,27.38,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770544,-10.607569,40.527441,22.98,1.13,21.74,11.86,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0770541,-10.607573,40.526527,25.54,3.19,22.75,14.44,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706973,-10.634752,40.317362,39.55,10.4,38.07,17.56,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706972,-10.634756,40.316448,107.02,22.85,96.77,34.12,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706974,-10.635656,40.317366,64.33,19.29,53.74,21.46,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0706971,-10.63566,40.316452,125.71,28.78,117.16,40.85,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713393,-10.643665,40.335738,52.91,6.7,58.95,15.94,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713392,-10.643669,40.334823,37.85,5.83,48.39,12.01,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713394,-10.64457,40.335741,49.59,3.99,49.32,14.49,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0713391,-10.644573,40.334827,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716593,-10.661765,40.344938,52.65,19.01,73.09,20.46,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716592,-10.661769,40.344023,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716594,-10.66267,40.344942,50.42,12.08,61.95,19.19,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0716591,-10.662673,40.344027,28.34,4.52,36.46,10.21,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662703,-10.74377,40.189819,51.77,9.96,58.63,16.04,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662702,-10.743774,40.188904,79.86,20.34,82.34,23.15,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662704,-10.744674,40.189822,33.91,4.89,32.26,9.03,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0662701,-10.744678,40.188908,107.31,17.81,131.74,34.43,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626423,-10.852681,40.080475,95.43,15.83,96.93,27.06,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626422,-10.852684,40.07956,59.63,7.19,55.15,15.44,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626424,-10.853585,40.080478,62.15,14.61,67.25,18.63,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0626421,-10.853588,40.079563,76.76,15.6,80.21,22.4,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623393,-10.861766,40.071339,4.39,0,4.56,1.28,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623392,-10.861769,40.070424,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623394,-10.86267,40.071342,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0623391,-10.862673,40.070427,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707483,-10.88792,40.318462,39.76,9.71,34.46,16.42,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707482,-10.887924,40.317547,59.19,14.1,51.16,21.91,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647633,-10.888666,40.144639,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647632,-10.888669,40.143724,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707484,-10.888824,40.318466,58.13,19.24,48.56,21.77,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0707481,-10.888828,40.317551,73.55,8.01,62.75,29.75,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647634,-10.88957,40.144642,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0647631,-10.889573,40.143727,47.86,11.5,53.01,16.74,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608493,-10.898066,40.025739,61.81,23.37,44.09,17.58,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608492,-10.898069,40.024824,42.84,9.16,64.24,17.83,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608494,-10.89897,40.025742,58.7,6.03,54.74,15.23,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0608491,-10.898973,40.024827,32.61,2,27.48,7.69,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726553,-10.905763,40.373435,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726552,-10.905767,40.37252,12.88,0.32,15.79,4.42,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688403,-10.906235,40.263652,46.96,11.59,40.09,17.66,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688402,-10.906239,40.262737,41.02,4.31,34.76,15.53,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726554,-10.906667,40.373439,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0726551,-10.906671,40.372524,3.32,0,4.43,1.24,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688404,-10.907139,40.263656,71.35,12.11,60.67,24.7,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0688401,-10.907143,40.262741,106.18,22.38,89.64,41,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710833,-10.942065,40.327938,103.85,1.29,126.26,35.22,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710832,-10.942069,40.327023,68.91,5.52,75.92,21.15,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710834,-10.94297,40.327942,74.89,6.25,83.23,22.85,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0710831,-10.942973,40.327027,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611583,-10.943266,40.035039,62.45,18.4,58.54,16.24,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611582,-10.943269,40.034124,62.06,15.79,63.17,17.1,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611584,-10.94417,40.035042,55.96,7.02,63.14,17.6,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0611581,-10.944173,40.034127,67.3,5.14,65.53,18.35,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691733,-10.978465,40.273139,75.68,30.77,71.75,25.55,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691732,-10.978469,40.272224,58.05,24.24,53.77,22.37,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691734,-10.97937,40.273143,38.8,11.65,35.53,13.13,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691731,-10.979373,40.272227,51.85,22.42,56.26,20.26,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714073,-10.987265,40.337238,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714072,-10.987269,40.336323,5.16,2.08,5.99,1.68,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714074,-10.988169,40.337243,17.88,3.68,20.78,5.63,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0714071,-10.988173,40.336327,63.56,8.33,73.99,20.07,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739583,-11.004965,40.410538,33.53,2.33,41.64,10.59,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739582,-11.004969,40.409623,2.62,0,3.34,0.94,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739584,-11.005869,40.410543,26.81,6.84,32.34,10.73,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0739581,-11.005873,40.409627,16.07,0.34,17.97,5.17,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651043,-11.069427,40.154496,68.86,12.32,60.15,23.83,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651042,-11.069431,40.15358,34.21,9.53,30.49,13.6,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651044,-11.070332,40.154499,72.61,10.94,62.45,25.84,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0651041,-11.070335,40.153584,77.94,20.46,69.53,25.18,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742893,-11.077365,40.420038,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742892,-11.077369,40.419123,27.76,0.97,31.46,8.81,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742894,-11.078269,40.420043,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0742891,-11.078273,40.419127,32.4,1.02,37.94,10.24,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458833,-11.089167,39.577741,75.37,12.65,61.06,25.82,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458832,-11.089169,39.576826,53.51,3.11,43.97,21.21,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458834,-11.090072,39.577743,78.8,14.17,63.48,28.5,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0458831,-11.090073,39.576827,51.16,16,42.82,19.72,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720663,-11.104756,40.356044,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720662,-11.10476,40.355129,14.93,6.51,22.3,5.44,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720664,-11.10566,40.356048,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0720661,-11.105664,40.355133,20.5,1.1,25.68,6.45,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0599953,-11.106166,39.99904,89.95,25.74,77.28,31.02,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0599952,-11.106169,39.998124,72.95,25.28,61.8,27.02,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0599954,-11.10707,39.999043,59.89,23.29,50.73,22.56,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0599951,-11.107073,39.998127,55.79,18.31,46.95,21.86,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0581743,-11.115366,39.94404,131.7,42.65,96.04,34.25,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0581742,-11.115369,39.943125,127.29,28.68,99.67,28.78,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0581744,-11.116271,39.944043,157.59,44.01,121.66,37.75,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0581741,-11.116273,39.943127,70.52,21.56,58.87,21.07,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569503,-11.142666,39.90754,88.26,30.09,64.11,27.69,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569502,-11.142669,39.906625,80.1,29.44,57.73,25.86,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569504,-11.143571,39.907543,42.43,13.88,34.81,15.55,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569501,-11.143573,39.906627,44.36,17.43,36.4,15.89,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0480463,-11.152367,39.642041,62.12,22.14,48.48,22.65,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0480462,-11.152369,39.641125,50.18,17.66,45.62,16.87,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0480464,-11.153272,39.642043,232.18,74.75,199.94,66.2,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0480461,-11.153273,39.641127,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0624083,-11.178166,40.07254,73.8,9.66,62.18,28.47,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0624082,-11.178169,40.071624,98.72,10.93,83.95,35.08,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0624084,-11.17907,40.072543,62.54,11.34,53.12,25.2,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0624081,-11.179073,40.071627,87.09,13.41,73.1,29.96,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0526313,-11.215267,39.779541,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0526312,-11.215269,39.778625,64.4,17.65,69.48,21.23,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0526314,-11.216171,39.779543,47.92,7.12,54.23,15.18,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0526311,-11.216173,39.778627,36.98,11.62,40.75,11.28,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0588063,-11.287066,39.963041,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0588062,-11.287069,39.962124,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0588064,-11.287971,39.963044,159.08,79.98,103.03,41.32,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0588061,-11.287973,39.962127,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0351633,-11.288575,39.257476,66.07,25.28,50.34,24.04,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0351632,-11.288576,39.25656,15.27,7.59,13.44,5.64,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0351634,-11.289479,39.257477,116.93,45.72,102.06,33.01,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0351631,-11.28948,39.256561,110.03,51.46,98.85,31.83,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299483,-11.306769,39.101743,27.53,9.09,22.93,12.2,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299482,-11.306769,39.100827,68.6,14.97,52.53,21.97,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299484,-11.307673,39.101744,53.51,16.24,40.43,17.43,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299481,-11.307673,39.100827,88.1,21.34,69.67,27.24,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0606213,-11.332166,40.018141,227.57,54.47,179.36,50.91,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0606212,-11.332169,40.017224,71.76,18.28,62.51,21.7,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0606214,-11.33307,40.018144,68.59,18.16,60.04,23.84,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0606211,-11.333073,40.017227,83.89,24.25,61.4,25.59,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0679713,-11.349465,40.23804,96.35,24.9,116.43,32.28,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0679712,-11.349469,40.237124,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0679714,-11.35037,40.238044,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0679711,-11.350373,40.237127,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569743,-11.359566,39.908241,20.07,3.53,21.58,8.06,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569742,-11.359569,39.907325,32.79,7.69,29.03,12.27,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569744,-11.360471,39.908244,28.04,5.03,30.19,11.22,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0569741,-11.360473,39.907327,24.77,1.75,28.42,10.48,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0245292,-11.442469,38.935828,13.8,0,13.23,3.7,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0245293,-11.442469,38.936744,26.41,2.21,27.6,7.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0245291,-11.443373,38.935827,12.75,0.7,11.28,7.27,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0245294,-11.443374,38.936744,23.88,6.32,27.56,7.72,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299302,-11.469569,39.100827,110.24,11.03,89.89,35.21,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299303,-11.469569,39.101744,98.91,26.77,91.52,34.3,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299301,-11.470473,39.100827,65.1,9.41,53.88,26.15,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0299304,-11.470473,39.101744,121.19,37.3,112.01,35.08,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0388623,-11.550768,39.367743,45.65,23.49,38.67,16.87,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0388622,-11.550769,39.366826,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0388624,-11.551672,39.367745,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0388621,-11.551673,39.366827,87.06,29.89,69.08,25.27,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0591383,-11.603566,39.973141,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0591382,-11.603569,39.972224,60.98,16.81,49.3,20.48,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0591384,-11.60447,39.973145,84.24,12.29,77.13,33.23,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0591381,-11.604473,39.972227,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0081672,-11.613769,38.458829,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0081673,-11.613771,38.459746,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0081671,-11.614673,38.458827,51.8,13.28,51.58,23.51,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0081674,-11.614675,38.459745,57.47,20.37,53.16,22.8,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0391843,-11.623068,39.377044,15.52,0.99,13.88,5.77,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0391842,-11.623069,39.376126,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0391844,-11.623972,39.377045,141.85,51.99,116.24,38.1,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0391841,-11.623973,39.376127,85.74,43.84,74.76,31.9,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0651983,-11.639066,40.156841,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0651982,-11.639069,40.155924,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0651984,-11.63997,40.156845,0,0,0,0,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0651981,-11.639973,40.155927,51.13,5.66,62.33,15.55,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0677103,-11.674965,40.230341,170.76,7.13,160.08,44.68,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0677102,-11.674969,40.229423,109.05,6.9,81.91,27.05,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0677104,-11.67587,40.230345,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0677101,-11.675873,40.229427,55.87,2.09,55.7,16.93,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0367353,-11.686468,39.303744,190.39,46.59,172.37,58.02,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0367352,-11.686469,39.302826,231.42,81.54,206.33,70.35,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0367351,-11.687373,39.302827,105.74,33.27,103.74,32.09,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0367354,-11.687373,39.303745,171.13,56.26,158.91,51.93,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0453473,-11.722267,39.560743,56.15,8.79,48.36,19.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0453472,-11.722269,39.559826,63.73,22.27,58.73,18.57,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0453474,-11.723172,39.560745,22.91,0.38,22.29,8.12,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0453471,-11.723173,39.559827,47.59,12.09,48.77,16.28,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0734653,-11.728365,40.39574,54.23,23.76,49.58,24.77,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0734652,-11.728369,40.394823,47.94,20.99,42.11,22.52,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0734654,-11.729269,40.395745,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0734651,-11.729273,40.394827,50.2,28.78,45.04,24.07,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0114842,-11.740532,38.559484,54.72,24.32,40.37,20.08,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0114843,-11.740533,38.560402,54.14,14.05,39.04,23.3,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0114841,-11.741436,38.559483,40.16,15.4,30.37,16.68,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0114844,-11.741437,38.560401,25.53,8.72,19.62,10.59,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6703,-11.74819261,35.42091339,89.54,40.33,66.55,26.75,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6702,-11.74820039,35.41999644,94.86,51.05,75.91,33.85,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6704,-11.74909615,35.42092128,65.35,34.08,49.22,20.12,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6701,-11.74910393,35.42000433,143.07,67.88,122.63,45.74,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6693,-11.78369034,35.50091187,178.18,75.88,136.84,53.27,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6692,-11.7836984,35.49999486,60.18,29.26,56.65,18.38,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6694,-11.78459382,35.50092005,63.26,25.87,52.4,23.38,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6691,-11.78460188,35.50000303,74.38,34.47,54.22,30.65,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6733,-11.82018761,35.45090557,23.38,7.27,22.2,10.52,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6732,-11.82019553,35.4499884,63.98,26.2,53.2,28.69,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6734,-11.82109113,35.45091361,26.65,6.34,24.96,11.59,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6731,-11.82109905,35.44999644,27.86,9.33,25.63,14.31,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0136642,-11.831069,38.623629,176.92,54.91,222.43,62.28,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0136643,-11.83107,38.624547,59.01,13.43,72.62,20.33,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0136641,-11.831973,38.623627,140.43,40.64,221.76,62.09,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0136644,-11.831975,38.624545,147.89,18.06,182.52,51.11,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0321543,-11.849345,39.166178,26.86,8.38,24.28,10.11,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0321542,-11.849346,39.165259,28.86,8.18,27.22,12.79,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0321544,-11.850249,39.166178,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0321541,-11.85025,39.16526,41.89,10.2,32.3,15.08,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0564133,-11.875066,39.891543,127.48,27.54,122.94,35.82,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0564132,-11.875069,39.890624,128.57,54.49,122.16,34.67,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0564134,-11.875971,39.891546,90.38,15.1,128.59,38.96,2016,0.1
