"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",1,1,18,18
"(80,100]",1,1,99,51.8
"(160,180]",1,1,177,169
"(200,300]",4,4,260.75,252.75
"(300,400]",8,8,364.5,356.5
"(400,500]",5,5,439.2,431.2
