"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",9219,19646,9.23521738586387,9.55931321701461
"(20,40]",17262,17648,31.2384168227558,29.5962616931664
"(40,60]",17256,12712,49.1447012758652,49.278849298831
"(60,80]",9845,7368,69.0872172354444,68.8920613059691
"(80,100]",6129,4130,89.6030967721521,89.1048923721792
"(100,120]",3848,3423,109.655931606523,109.266192492112
"(120,140]",2306,1985,129.310142029185,129.469624119446
"(140,160]",1601,1256,149.848925107995,148.319883386943
"(160,180]",1362,874,169.371070577093,169.970930424714
"(180,200]",1174,1059,189.359855189353,189.482057321341
"(200,300]",2713,2634,241.150290622558,241.322493428853
"(300,400]",925,908,341.153807094703,340.966666695485
"(400,500]",306,303,441.032202059804,440.402396481518
"(500,Inf]",144,144,596.761547310417,595.59488064375
