"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",9932,248,8.6299713988826,11.7389864717742
"(20,40]",16688,2523,31.2233853428643,33.6183323597784
"(40,60]",16827,9850,49.1268423782968,50.7514457510504
"(60,80]",10344,13038,69.3417152381893,71.1057010533955
"(80,100]",7515,15334,89.5500415585842,89.4522526941972
"(100,120]",3996,9306,109.249409291917,110.011883820866
"(120,140]",2129,8888,129.442447938093,130.206036196941
"(140,160]",1528,7250,149.714961085995,147.979254980119
"(160,180]",1334,2166,169.642316566792,168.79787971542
"(180,200]",1096,1414,189.548986253467,189.545656083168
"(200,300]",3604,3998,243.764105194229,243.277655477714
"(300,400]",1709,2219,342.86322610708,345.22083241014
"(400,500]",623,920,442.965043858427,441.270047641304
"(500,Inf]",373,544,636.68955459571,623.627244122426
