"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",698,571,5.96275931232092,8.78001751313485
"(20,40]",651,516,30.4768356374808,30.7761154908173
"(40,60]",1277,569,50.8422364917776,50.5091933808285
"(60,80]",1414,585,70.3668140028289,70.5146215173444
"(80,100]",1677,994,90.4695772212284,90.6865225547622
"(100,120]",1934,1378,110.79147156153,110.399446880191
"(120,140]",2450,2651,130.829168927755,130.63942641154
"(140,160]",2911,2331,150.718374878736,149.733003268804
"(160,180]",3589,2754,170.657502239342,170.313298629915
"(180,200]",4030,3343,190.640392987146,190.283388757823
"(200,300]",23774,22790,250.912281647842,252.418752590433
"(300,400]",14880,18324,343.118803121935,343.933469158225
"(400,500]",4645,6544,438.554030124177,439.090360531255
"(500,Inf]",1253,1833,568.318653513408,565.852816533685
