"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",2558,7,9.29964967595934,15.3221884497143
"(20,40]",3329,43,30.8120913024121,31.5068478918605
"(40,60]",3086,71,49.0896141836196,50.9878722507042
"(60,80]",1833,531,69.1478856478778,73.6528463550791
"(80,100]",1314,2725,89.7567213117884,91.9747201678756
"(100,120]",857,3672,109.691151562427,110.362552909079
"(120,140]",680,4469,129.644446189412,130.111786324032
"(140,160]",564,2338,150.082258694681,146.558877535111
"(160,180]",570,567,170.035558477719,170.236612354145
"(180,200]",545,532,189.961434947523,189.551004665226
"(200,300]",2305,2299,247.176796779306,248.219999806916
"(300,400]",1346,1545,343.283757596954,344.273694836699
"(400,500]",504,640,442.472351031746,441.490236754062
"(500,Inf]",296,348,630.048952930405,626.59780558477
