"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",2,2,4.621,4.621
"(60,80]",1,2,64.3169,50.60075
"(80,100]",1,1,97.6846,77.2021277
"(100,120]",2,1,102.5531915,97.1042553
"(120,140]",1,1,124.2553191,117.9553191
"(160,180]",1,1,175.091,169.241
"(200,300]",2,2,281.6745,273.8745
