"agb_Mgha_bins","n_pre","n_post","agb_Mgha_pre","agb_Mgha_post"
"(0,20]",699,621,5.9799799713877,7.14867149758454
"(20,40]",651,528,30.4768356374808,30.2299897599654
"(40,60]",1307,590,50.8791935730681,50.2036985773636
"(60,80]",1485,681,70.446569023569,71.1577141340931
"(80,100]",1785,1116,90.5156196078431,90.4300130082544
"(100,120]",2116,1533,110.810697542533,110.818884169368
"(120,140]",2782,2814,130.826081048526,130.050491829748
"(140,160]",3348,2646,150.790028123357,149.931406901392
"(160,180]",4138,3207,170.712678993958,170.441688963707
"(180,200]",4683,3903,190.615898007303,190.297001555327
"(200,300]",28283,26926,251.250671585645,252.543842443546
"(300,400]",18526,22136,343.65914620665,344.177733586858
"(400,500]",6229,8501,439.488321100466,439.740933409059
"(500,Inf]",1814,2644,565.161831186494,564.708597232153
